title,first,last,gender,date,nation,convo,total,proportion,authorAvg,percent
Middlemarch,George,Eliot,Female,1872,UK,168077,315654,0.53,0,53
Around the World in Eighty Days,Jules,Verne,Male,1873,French,49593,62762,0.79,0.50,79
Far From the Madding Crowd,Thomas,Hardy,Male,1874,UK,49635,136052,0.36,0.44,36
The Adventures of Tom Sawyer,Mark,Twain,Male,1876,American,35771,69830,0.51,0.53,51
Black Beauty,Anna,Sewell,Female,1877,UK,32202,59692,0.54,0,54
Anna Karenina,Leo,Tolstoy,Male,1877,Russian,183924,349979,0.53,0.30,53
Bouile de Suif and Other Stories ,Guy de,Maupassant,Male,1880,French,32968,104545,0.32,0,32
Ben Hur,Lew,Wallace,Male,1880,American,84942,197417,0.43,0,43
Heidi,Johanna,Spyri,Female,1881,German,20403,50115,0.41,0,41
The Adventures of Pinocchio,Carlo,Collodi,Male,1883,Italian,22015,39873,0.55,0,55
Treasure Island,Robert Louis,Stevenson,Male,1883,American,18855,67873,0.28,0.29,28
Flatland,Edwin Abbott,Abbott,Male,1884,UK,10075,33065,0.30,0,30
The Adventures of Huckleberry Finn,Mark,Twain,Male,1884,American,52463,110040,0.48,0.53,48
Little Lord Fauntleroy,Frances Hodgson,Burnett,Female,1886,UK,27415,58329,0.47,0.46,47
The Strange Case of Dr Jekyll and Mr Hyde,Robert Louis,Stevenson,Male,1886,UK,7431,25584,0.29,0.29,29
A Connecticut Yankee in King Arthur’s Court,Mark,Twain,Male,1889,American,72969,117504,0.62,0.53,62
The Picture of Dorian Gray,Oscar,Wilde,Male,1890,UK,38677,78552,0.49,0,49
Tess of d'Urbervilles,Thomas,Hardy,Male,1891,UK,79315,148525,0.53,0.44,53
The Jungle Book,Rudyard,Kipling,Male,1894,UK,31644,50796,0.62,0,62
The Country of the Pointed Firs,Sarah Orne,Jewett,Female,1896,American,21112,41981,0.50,0,50
Dracula,Bram,Stoker,Male,1897,UK,58644,160781,0.36,0,36
The War of the Worlds,H. G.,Wells,Male,1898,UK,5090,59973,0.08,0,8
The Wonderful Wizard of Oz,L. Frank,Baum,Male,1900,American,23323,39259,0.59,0,59
Peter Pan,J. M. ,Barrie,Male,1902,UK,9777,47332,0.21,0,21
Heart of Darkness,Joseph,Conrad,Male,1902,UK,36365,38106,0.95,0,95
The Hound of Baskervilles,Sir Arthur Conan,Doyle,Male,1902,UK,35027,59115,0.59,0,59
The Virginian,Owen,Wister,Male,1902,American,74130,128380,0.58,0,58
The Call of the Wild,Jack,London,Male,1903,American,30695,31782,0.97,0.73,97
Rebecca of Sunnybrook Farm,Kate Douglass,Wiggin,Female,1903,American,35701,73462,0.49,0,49
A Little Princess,Frances Hodgson,Burnett,Female,1905,UK,26750,66257,0.40,0.46,40
House of Mirth,Edith,Wharton,Female,1905,American,56677,129196,0.44,0.25,44
White Fang,Jack,London,Male,1906,American,4887,72065,0.07,0.73,7
The Jungle,Upton,Sinclair,Male,1906,American,59001,149119,0.40,0,40
A Room with a View,E. M.,Foster,Male,1908,UK,30137,66433,0.45,0,45
Anne of Green Gables,Lucy Maud,Montgomery,Female,1908,Canadian,59971,102243,0.59,0,59
Three Lives,Gertrude,Stein,Female,1909,American,38188,86069,0.44,0,44
The Phantom of the Opera,Gaston,Leroux,Male,1910,French,31853,83653,0.38,0,38
The Secret Garden,Frances Hodgson,Burnett,Female,1911,UK,42164,80537,0.52,0.46,52
Laddie,Gene Stratton,Porter,Female,1913,American,85821,156228,0.55,0,55
The Metamorphosis,Franz,Kafka,Male,1915,German,2525,22095,0.11,0.28,11
My Ántonia,Willa,Cather,Female,1918,American,36037,80316,0.45,0,45
The Magnificent Ambersons,Booth,Tarkington,Male,1918,American,53624,99513,0.54,0,54
Night and Day,Virginia ,Woolf,Female,1919,UK,115429,166185,0.69,0,69
This Side of Paradise,F. Scott,Fitzgerald,Male,1920,American,37937,80608,0.47,0.44,47
The Story of Doctor Dolittle,Hugh,Lofting,Male,1920,UK,9955,24817,0.40,0,40
The Age of Innocence,Edith,Wharton,Female,1920,American,39193,101262,0.39,0.25,39
Scaramouche,Rafael,Sabatini,Male,1921,Italian,55705,124474,0.45,0,45
The Beautiful and Damned,F. Scott,Fitzgerald,Male,1922,American,69052,123527,0.56,0.44,56
Siddhartha,Herman,Hess,Male,1922,German,24660,39144,0.63,0,63
The Last of the Mohicans,James Fenimore,Cooper,Male,1924,American,87901,146912,0.60,0,60
The Trial,Franz,Kafka,Male,1925,German,33511,84180,0.40,0.28,40
